"hypothesis","metric","Levene_F","Levene_p","equal_var"
"H1_lying_inicial","RMSSD",0.0884,0.7679,TRUE
"H1_lying_inicial","SDNN",0.1283,0.7223,TRUE
"H1_lying_inicial","HF_log",0.1304,0.7197,TRUE
"H1_lying_inicial","LF_log",0.542,0.4656,TRUE
"H1_lying_inicial","LF_nu",0.0169,0.8972,TRUE
"H1_lying_inicial","HF_nu",0.0298,0.8638,TRUE
"H1_lying_inicial","LF_HF_ratio",1.2811,0.264,TRUE
"H1_lying_inicial","SD1",0.8586,0.3658,TRUE
"H1_lying_inicial","SampEn",2.3613,0.1317,TRUE
"H1_lying_inicial","alpha1",0.8986,0.3485,TRUE
"H7_lying_final","RMSSD",0.6405,0.4285,TRUE
"H7_lying_final","SDNN",0.9924,0.3255,TRUE
"H7_lying_final","HF_log",0.0533,0.8185,TRUE
"H7_lying_final","LF_log",0.049,0.8259,TRUE
"H7_lying_final","LF_nu",0.1418,0.7084,TRUE
"H7_lying_final","HF_nu",0.0722,0.7895,TRUE
"H7_lying_final","LF_HF_ratio",1.8122,0.1855,TRUE
"H7_lying_final","SD1",0.169,0.6859,TRUE
"H7_lying_final","SampEn",2.8973,0.0961,TRUE
"H7_lying_final","alpha1",3.1023,0.0855,TRUE
