"hypothesis","metric","n_pairs","mean_diff","SD_diff","SW_W","SW_p","normal"
"H1_lying_inicial","RMSSD",13,-0.265,46.7984,0.9023,0.144,TRUE
"H1_lying_inicial","SDNN",13,-4.783,42.9685,0.9226,0.2722,TRUE
"H1_lying_inicial","HF_log",18,-0.0072,2.1546,0.8629,0.0136,FALSE
"H1_lying_inicial","LF_log",18,0.0511,2.0229,0.8811,0.0272,FALSE
"H1_lying_inicial","LF_nu",18,2.542,22.6396,0.9287,0.1845,TRUE
"H1_lying_inicial","HF_nu",18,-2.6028,22.5829,0.9298,0.1923,TRUE
"H1_lying_inicial","LF_HF_ratio",18,0.3277,1.6421,0.8374,0.0054,FALSE
"H1_lying_inicial","SD1",5,-30.2475,106.0236,0.8581,0.2213,TRUE
"H1_lying_inicial","SampEn",18,-0.0782,0.5092,0.983,0.9753,TRUE
"H1_lying_inicial","alpha1",18,0.0759,0.3466,0.9529,0.4728,TRUE
"H2_ortho_pre_03_pct","RMSSD",13,8.5658,26.7938,0.8655,0.0455,FALSE
"H2_ortho_pre_03_pct","SDNN",13,-23.9463,115.7163,0.7802,0.004,FALSE
"H2_ortho_pre_03_pct","HF_log",18,2.7085,15.9948,0.9154,0.1074,TRUE
"H2_ortho_pre_03_pct","LF_log",18,-2.0934,15.0052,0.9623,0.6465,TRUE
"H2_ortho_pre_03_pct","LF_nu",18,-22.318,134.7594,0.8015,0.0016,FALSE
"H2_ortho_pre_03_pct","HF_nu",18,29.7729,69.5847,0.8905,0.0393,FALSE
"H2_ortho_pre_03_pct","LF_HF_ratio",18,-88.3298,831.3614,0.724,2e-04,FALSE
"H2_ortho_pre_03_pct","SD1",5,5.1295,23.3857,0.8502,0.1952,TRUE
"H2_ortho_pre_03_pct","SampEn",18,7.4787,46.7664,0.7688,6e-04,FALSE
"H2_ortho_pre_03_pct","alpha1",18,-14.8645,84.4224,0.9897,0.9986,TRUE
"H3_ortho_pre_05_pct","RMSSD",13,23.0815,29.4456,0.9588,0.735,TRUE
"H3_ortho_pre_05_pct","SDNN",13,-18.251,109.2368,0.7978,0.0064,FALSE
"H3_ortho_pre_05_pct","HF_log",17,4.2215,11.4074,0.9418,0.3399,TRUE
"H3_ortho_pre_05_pct","LF_log",17,-3.4483,18.3275,0.9038,0.0787,TRUE
"H3_ortho_pre_05_pct","LF_nu",17,-51.4156,101.4863,0.8529,0.0119,FALSE
"H3_ortho_pre_05_pct","HF_nu",17,25.3495,61.2936,0.9803,0.9596,TRUE
"H3_ortho_pre_05_pct","LF_HF_ratio",17,-290.1142,736.9639,0.7231,2e-04,FALSE
"H3_ortho_pre_05_pct","SD1",5,34.53,38.3288,0.7896,0.0665,TRUE
"H3_ortho_pre_05_pct","SampEn",17,10.6895,30.8987,0.9402,0.3203,TRUE
"H3_ortho_pre_05_pct","alpha1",17,-28.5515,61.5795,0.8936,0.0532,TRUE
"H7_lying_final","RMSSD",14,-3.0752,39.6062,0.9764,0.9485,TRUE
"H7_lying_final","SDNN",14,-4.691,27.4112,0.9193,0.2151,TRUE
"H7_lying_final","HF_log",17,-0.4909,2.1048,0.8717,0.0233,FALSE
"H7_lying_final","LF_log",17,-0.4185,0.6758,0.9826,0.9768,TRUE
"H7_lying_final","LF_nu",17,12.9898,26.8113,0.9945,1,TRUE
"H7_lying_final","HF_nu",17,-7.8386,34.1951,0.9698,0.8149,TRUE
"H7_lying_final","LF_HF_ratio",17,0.7875,2.0621,0.947,0.4108,TRUE
"H7_lying_final","SD1",4,-43.3062,103.4322,0.8471,0.217,TRUE
"H7_lying_final","SampEn",17,-0.4033,0.49,0.9567,0.5702,TRUE
"H7_lying_final","alpha1",17,0.168,0.4987,0.9442,0.3719,TRUE
"H8_ortho_post_03_pct","RMSSD",12,-24.5848,82.6152,0.9548,0.708,TRUE
"H8_ortho_post_03_pct","SDNN",12,22.3764,62.8501,0.9031,0.1738,TRUE
"H8_ortho_post_03_pct","HF_log",15,-50.151,212.6485,0.3605,0,FALSE
"H8_ortho_post_03_pct","LF_log",15,-3.1953,12.6379,0.9689,0.8409,TRUE
"H8_ortho_post_03_pct","LF_nu",15,-55.2433,155.0026,0.6611,1e-04,FALSE
"H8_ortho_post_03_pct","HF_nu",15,26.7876,87.6171,0.8056,0.0043,FALSE
"H8_ortho_post_03_pct","LF_HF_ratio",15,-57.4963,632.326,0.8861,0.0585,TRUE
"H8_ortho_post_03_pct","SD1",4,-60.8218,124.0339,0.9973,0.991,TRUE
"H8_ortho_post_03_pct","SampEn",15,7.1219,29.6943,0.9509,0.5391,TRUE
"H8_ortho_post_03_pct","alpha1",15,-2.8151,90.183,0.9081,0.1267,TRUE
"H9_ortho_post_05_pct","RMSSD",11,14.3653,70.0211,0.9704,0.8902,TRUE
"H9_ortho_post_05_pct","SDNN",11,-40.8274,162.0749,0.6188,0,FALSE
