"hypothesis","metric","n","test","statistic","df_approx","p_value","effect_size","effect_label","median_MR","median_VBT","mean_MR","mean_VBT","p_fdr","sig_raw","sig_fdr"
"H12_ortho_03","RMSSD",10,"paired_t",-1.81,9,0.10374,-0.572,"Cohen_dz",-32.1898,-2.9952,-14.544,28.84,0.93366,FALSE,FALSE
"H12_ortho_03","SDNN",10,"paired_t",0.8342,9,0.42573,0.264,"Cohen_dz",-37.0723,-9.498,-5.6478,-43.7215,0.979,FALSE,FALSE
"H12_ortho_03","HF_log",15,"wilcoxon_SR",65,NA,0.79827,0.073,"rank_biserial_r",-7.3778,-1.8995,-2.074,48.8041,0.979,FALSE,FALSE
"H12_ortho_03","LF_log",15,"paired_t",-0.0268,14,0.979,-0.007,"Cohen_dz",5.2448,3.9274,5.4976,5.624,0.979,FALSE,FALSE
"H12_ortho_03","LF_nu",15,"paired_t",-0.6182,14,0.54637,-0.16,"Cohen_dz",14.3873,13.4613,-5.4288,29.5702,0.979,FALSE,FALSE
"H12_ortho_03","HF_nu",15,"paired_t",-0.2678,14,0.79278,-0.069,"Cohen_dz",-41.2974,-32.3094,-33.1005,-26.1141,0.979,FALSE,FALSE
"H12_ortho_03","LF_HF_ratio",15,"paired_t",0.1133,14,0.91143,0.029,"Cohen_dz",18.0266,27.664,4.6271,-27.4474,0.979,FALSE,FALSE
"H12_ortho_03","SampEn",15,"paired_t",-0.059,14,0.95375,-0.015,"Cohen_dz",-20.2945,-28.9806,-30.0784,-29.2958,0.979,FALSE,FALSE
"H12_ortho_03","alpha1",15,"paired_t",0.3362,14,0.74174,0.087,"Cohen_dz",17.2855,-1.3249,2.285,-9.7707,0.979,FALSE,FALSE
"H12_ortho_05","RMSSD",10,"paired_t",-0.6984,9,0.5026,-0.221,"Cohen_dz",-14.6931,-7.6553,-22.8063,-10.7231,0.90009,FALSE,FALSE
"H12_ortho_05","SDNN",10,"wilcoxon_SR",24,NA,0.75977,-0.113,"rank_biserial_r",-22.7184,6.2351,-22.102,14.8445,0.90009,FALSE,FALSE
"H12_ortho_05","HF_log",14,"wilcoxon_SR",34,NA,0.25849,-0.31,"rank_biserial_r",-5.8373,-2.6087,-7.039,51.5689,0.90009,FALSE,FALSE
"H12_ortho_05","LF_log",14,"wilcoxon_SR",55,NA,0.90009,0.042,"rank_biserial_r",-2.288,0.626,2.2495,-4.7926,0.90009,FALSE,FALSE
"H12_ortho_05","LF_nu",14,"wilcoxon_SR",62,NA,0.57208,0.159,"rank_biserial_r",3.9811,18.226,25.8826,29.6314,0.90009,FALSE,FALSE
"H12_ortho_05","HF_nu",14,"paired_t",-1.8864,13,0.08177,-0.504,"Cohen_dz",-40.3833,-20.5358,-43.5205,-13.0495,0.73593,FALSE,FALSE
"H12_ortho_05","LF_HF_ratio",14,"wilcoxon_SR",57,NA,0.80173,0.075,"rank_biserial_r",-35.0248,35.2308,89.3534,-68.6645,0.90009,FALSE,FALSE
"H12_ortho_05","SampEn",14,"paired_t",0.4717,13,0.64498,0.126,"Cohen_dz",-17.9226,-19.0096,-19.2432,-24.5919,0.90009,FALSE,FALSE
"H12_ortho_05","alpha1",14,"paired_t",0.5988,13,0.55963,0.16,"Cohen_dz",10.6371,6.5313,19.8773,-0.6055,0.90009,FALSE,FALSE
