"hypothesis","protocol","lactate_var","hrv_delta_var","n","rho","rho_CI_low","rho_CI_high","p_value","p_fdr","sig_fdr","fisher_Z_MR_vs_VBT","fisher_p_MR_vs_VBT"
"H13","MR","lac_post","delta_RMSSD",16,-0.0295,-0.6174,0.5411,0.91364,0.97067,FALSE,-0.5805,0.56159
"H13","MR","lac_post","delta_SDNN",17,-0.1243,-0.6591,0.4384,0.63454,0.95183,FALSE,0.1452,0.88458
"H13","MR","lac_post","delta_HF_log",20,-0.2149,-0.6288,0.2712,0.36281,0.95183,FALSE,-0.5609,0.57488
"H13","MR","lac_post","delta_LF_log",20,0.0415,-0.4519,0.5457,0.86216,0.96654,FALSE,0.34,0.73384
"H13","MR","lac_post","delta_LF_nu",20,0.1644,-0.3119,0.6331,0.48854,0.95183,FALSE,0.7093,0.47816
"H13","MR","lac_post","delta_HF_nu",20,-0.322,-0.7086,0.1663,0.16617,0.95183,FALSE,-1.2241,0.22091
"H13","MR","lac_post","delta_LF_HF_ratio",20,0.0762,-0.3953,0.5179,0.7496,0.95183,FALSE,0.982,0.3261
"H13","MR","lac_post","delta_SD1",6,-0.4058,-1,0.8006,0.42466,0.95183,FALSE,-0.8207,0.41182
"H13","MR","lac_post","delta_SampEn",20,0.2081,-0.3329,0.6592,0.37852,0.95183,FALSE,0.0949,0.9244
"H13","MR","lac_post","delta_alpha1",20,0.1554,-0.3801,0.6359,0.5131,0.95183,FALSE,0.8523,0.39406
"H13","MR","lac_post","dortho_03_RMSSD",15,0,-0.5181,0.5094,1,1,FALSE,0.5786,0.56288
"H13","MR","lac_post","dortho_03_SDNN",16,0.1344,-0.3642,0.5908,0.61967,0.95183,FALSE,1.311,0.18985
"H13","MR","lac_post","dortho_03_HF_log",19,0.2912,-0.1848,0.6433,0.22637,0.95183,FALSE,1.3537,0.17584
"H13","MR","lac_post","dortho_03_LF_log",19,0.1496,-0.3501,0.5824,0.54106,0.95183,FALSE,1.4463,0.14808
"H13","MR","lac_post","dortho_03_LF_nu",19,-0.2376,-0.7039,0.3313,0.3274,0.95183,FALSE,-0.841,0.40036
"H13","MR","lac_post","dortho_03_HF_nu",19,0.2719,-0.28,0.7386,0.26014,0.95183,FALSE,0.6011,0.54774
"H13","MR","lac_post","dortho_03_LF_HF_ratio",19,-0.1945,-0.6601,0.3242,0.42502,0.95183,FALSE,-1.317,0.18783
"H13","MR","lac_post","dortho_03_SD1",6,0.116,-1,1,0.82685,0.96654,FALSE,0.8917,0.37253
"H13","MR","lac_post","dortho_03_SampEn",19,-0.3168,-0.6933,0.1347,0.18639,0.95183,FALSE,-1.3073,0.19109
"H13","MR","lac_post","dortho_03_alpha1",19,-0.1337,-0.6411,0.4548,0.58516,0.95183,FALSE,-0.0458,0.96345
"H13","MR","lac_post","dortho_05_RMSSD",15,0.0197,-0.5312,0.5477,0.94446,0.97703,FALSE,0.3324,0.7396
"H13","MR","lac_post","dortho_05_SDNN",16,-0.0266,-0.4941,0.5328,0.92214,0.97067,FALSE,0.3343,0.73814
"H13","MR","lac_post","dortho_05_HF_log",19,0.2728,-0.1789,0.6169,0.25854,0.95183,FALSE,0.638,0.52347
"H13","MR","lac_post","dortho_05_LF_log",19,0.0959,-0.333,0.5255,0.69611,0.95183,FALSE,1.0651,0.28684
"H13","MR","lac_post","dortho_05_LF_nu",19,-0.1725,-0.6487,0.357,0.48018,0.95183,FALSE,-0.2638,0.79192
"H13","MR","lac_post","dortho_05_HF_nu",19,0.2217,-0.2631,0.6743,0.36159,0.95183,FALSE,-0.3883,0.69782
