"protocol","hrv_delta_var","hypothesis","lactate_var","n","rho","rho_CI_low","rho_CI_high","p_value","p_fdr","sig_fdr","fisher_Z_MR_vs_VBT","fisher_p_MR_vs_VBT","partial_rho","partial_p","n_partial"
"MR","delta_alpha1","H14","lac_delta",20,0.0986,-0.3955,0.5486,0.67928,0.96076,FALSE,0.7217,0.47047,0.1524,0.53329,20
"MR","delta_HF_log","H14","lac_delta",20,-0.0715,-0.4953,0.4187,0.76458,0.96076,FALSE,-1.129,0.25891,-0.1301,0.59549,20
"MR","delta_HF_nu","H14","lac_delta",20,-0.2491,-0.6388,0.217,0.28964,0.82754,FALSE,-1.0553,0.29129,-0.2986,0.21431,20
"MR","delta_LF_HF_ratio","H14","lac_delta",20,0.0233,-0.4484,0.4946,0.92224,0.99496,FALSE,0.494,0.6213,0.0586,0.81178,20
"MR","delta_LF_log","H14","lac_delta",20,0.0775,-0.4292,0.5115,0.74535,0.96076,FALSE,-0.5279,0.59759,0.0982,0.68908,20
"MR","delta_LF_nu","H14","lac_delta",20,0.0542,-0.4177,0.4825,0.82054,0.96076,FALSE,0.4417,0.65873,0.1205,0.62324,20
"MR","delta_RMSSD","H14","lac_delta",16,0.181,-0.4063,0.6207,0.50228,0.96076,FALSE,-0.7049,0.48088,0.0788,0.78011,16
"MR","delta_SampEn","H14","lac_delta",20,0.1031,-0.4391,0.5667,0.66539,0.96076,FALSE,0.3251,0.7451,0.0967,0.69358,20
"MR","delta_SD1","H14","lac_delta",6,0.2029,-1,1,0.6998,0.96076,FALSE,-0.3924,0.69473,-0.1407,0.8214,6
"MR","delta_SDNN","H14","lac_delta",17,0.1031,-0.4483,0.5698,0.69385,0.96076,FALSE,-0.4894,0.62454,0.0098,0.97141,17
"MR","dortho_03_alpha1","H14","lac_delta",19,-0.0527,-0.5161,0.4094,0.83041,0.96076,FALSE,-0.207,0.83598,-0.1037,0.68222,19
"MR","dortho_03_HF_log","H14","lac_delta",19,0.3371,-0.1156,0.6457,0.15809,0.78594,FALSE,1.0174,0.30896,0.3333,0.17649,19
"MR","dortho_03_HF_nu","H14","lac_delta",19,0.3099,-0.279,0.7557,0.19661,0.78594,FALSE,0.551,0.58166,0.3264,0.18614,19
"MR","dortho_03_LF_HF_ratio","H14","lac_delta",19,-0.2862,-0.7094,0.23,0.23486,0.78594,FALSE,-0.3344,0.73806,-0.2914,0.24066,19
"MR","dortho_03_LF_log","H14","lac_delta",19,0.1554,-0.323,0.6219,0.52526,0.96076,FALSE,1.6823,0.09251,0.1415,0.57536,19
"MR","dortho_03_LF_nu","H14","lac_delta",19,-0.1896,-0.5976,0.3943,0.4368,0.96076,FALSE,0.2288,0.81905,-0.2401,0.33725,19
"MR","dortho_03_RMSSD","H14","lac_delta",15,0.0018,-0.5666,0.5737,0.99496,0.99496,FALSE,1.2368,0.21617,-0.0452,0.87794,15
"MR","dortho_03_SampEn","H14","lac_delta",19,-0.173,-0.5976,0.3435,0.47889,0.96076,FALSE,-0.6315,0.52771,-0.2341,0.34979,19
"MR","dortho_03_SD1","H14","lac_delta",6,0.5218,-0.8008,1,0.28834,0.82754,FALSE,1.7319,0.0833,0.4106,0.49224,6
"MR","dortho_03_SDNN","H14","lac_delta",16,0.0574,-0.5274,0.5831,0.83266,0.96076,FALSE,2.4461,0.01444,0.0909,0.74731,16
"MR","dortho_05_alpha1","H14","lac_delta",19,-0.0158,-0.4584,0.4319,0.9488,0.99496,FALSE,0.3073,0.7586,-0.0746,0.76875,19
"MR","dortho_05_HF_log","H14","lac_delta",19,0.1747,-0.2817,0.6275,0.47437,0.96076,FALSE,0.3605,0.71848,0.2017,0.42215,19
"MR","dortho_05_HF_nu","H14","lac_delta",19,0.1501,-0.347,0.6112,0.53956,0.96076,FALSE,-0.0618,0.95069,0.1974,0.43225,19
"MR","dortho_05_LF_HF_ratio","H14","lac_delta",19,0.0799,-0.3952,0.5108,0.74508,0.96076,FALSE,1.3534,0.17592,0.046,0.85604,19
"MR","dortho_05_LF_log","H14","lac_delta",19,0.0957,-0.3695,0.5995,0.69675,0.96076,FALSE,1.8511,0.06416,0.0762,0.76392,19
"MR","dortho_05_LF_nu","H14","lac_delta",19,0.0553,-0.4131,0.5398,0.82206,0.96076,FALSE,0.982,0.3261,-0.0514,0.83958,19
"MR","dortho_05_RMSSD","H14","lac_delta",15,-0.0268,-0.499,0.4754,0.92444,0.99496,FALSE,1.3095,0.19038,-0.041,0.88931,15
"MR","dortho_05_SampEn","H14","lac_delta",19,-0.0773,-0.5439,0.4051,0.75323,0.96076,FALSE,0.0437,0.96516,-0.0979,0.69905,19
"MR","dortho_05_SD1","H14","lac_delta",6,0.3189,-0.866,1,0.5379,0.96076,FALSE,1.1139,0.2653,0.1974,0.75035,6
"MR","dortho_05_SDNN","H14","lac_delta",16,-0.1296,-0.6309,0.4247,0.63238,0.96076,FALSE,0.8218,0.41116,-0.0694,0.80575,16
"VBT","delta_alpha1","H14","lac_delta",24,-0.1357,-0.5272,0.2904,0.52729,0.96076,FALSE,0.7217,0.47047,-0.1383,0.52902,24
"VBT","delta_HF_log","H14","lac_delta",24,0.2883,-0.1372,0.6173,0.17184,0.78594,FALSE,-1.129,0.25891,0.2204,0.31216,24
"VBT","delta_HF_nu","H14","lac_delta",24,0.0896,-0.3,0.5031,0.6772,0.96076,FALSE,-1.0553,0.29129,0.0694,0.75316,24
"VBT","delta_LF_HF_ratio","H14","lac_delta",24,-0.137,-0.5359,0.2956,0.52329,0.96076,FALSE,0.494,0.6213,-0.1589,0.46896,24
"VBT","delta_LF_log","H14","lac_delta",24,0.2448,-0.247,0.6389,0.24888,0.78594,FALSE,-0.5279,0.59759,0.1897,0.38599,24
"VBT","delta_LF_nu","H14","lac_delta",24,-0.0896,-0.4839,0.3069,0.6772,0.96076,FALSE,0.4417,0.65873,-0.0694,0.75316,24
"VBT","delta_RMSSD","H14","lac_delta",20,0.4159,-0.0521,0.7188,0.06814,0.64877,FALSE,-0.7049,0.48088,0.4115,0.08005,20
"VBT","delta_SampEn","H14","lac_delta",24,-0.0026,-0.4494,0.426,0.99035,0.99496,FALSE,0.3251,0.7451,0.0923,0.67521,24
"VBT","delta_SD1","H14","lac_delta",14,0.4312,-0.1767,0.8177,0.12367,0.74202,FALSE,-0.3924,0.69473,0.4325,0.13992,14
"VBT","delta_SDNN","H14","lac_delta",20,0.273,-0.1936,0.6846,0.24413,0.78594,FALSE,-0.4894,0.62454,0.2756,0.25337,20
"VBT","dortho_03_alpha1","H14","lac_delta",22,0.0175,-0.4173,0.444,0.93836,0.99496,FALSE,-0.207,0.83598,-0.0859,0.71112,22
"VBT","dortho_03_HF_log","H14","lac_delta",22,0.0056,-0.4465,0.5237,0.9801,0.99496,FALSE,1.0174,0.30896,0.0038,0.98704,22
