"lambda","cvm","cvsd","lambda_is_min","lambda_is_1se","cv_R2_lambda_1se"
0.96875,2.82423,0.63797,FALSE,FALSE,NA
0.882689,2.75453,0.6351,FALSE,FALSE,NA
0.804273,2.61736,0.6051,FALSE,FALSE,NA
0.732824,2.50032,0.57675,FALSE,TRUE,0.0786
0.667722,2.40316,0.55201,FALSE,FALSE,NA
0.608403,2.32248,0.53049,FALSE,FALSE,NA
0.554354,2.25551,0.51183,FALSE,FALSE,NA
0.505107,2.19984,0.49572,FALSE,FALSE,NA
0.460235,2.16058,0.48153,FALSE,FALSE,NA
0.419349,2.14527,0.46814,FALSE,FALSE,NA
0.382095,2.13574,0.45575,FALSE,FALSE,NA
0.348151,2.12477,0.44291,FALSE,FALSE,NA
0.317222,2.12176,0.42954,TRUE,FALSE,NA
0.289041,2.13743,0.42151,FALSE,FALSE,NA
0.263363,2.16386,0.41692,FALSE,FALSE,NA
0.239967,2.20169,0.41668,FALSE,FALSE,NA
0.218649,2.25802,0.42178,FALSE,FALSE,NA
0.199225,2.33172,0.43045,FALSE,FALSE,NA
0.181526,2.41156,0.44084,FALSE,FALSE,NA
0.1654,2.49431,0.4537,FALSE,FALSE,NA
0.150706,2.59383,0.47265,FALSE,FALSE,NA
0.137318,2.7189,0.49747,FALSE,FALSE,NA
0.125119,2.84964,0.52637,FALSE,FALSE,NA
0.114004,2.9851,0.56137,FALSE,FALSE,NA
0.103876,3.12551,0.60702,FALSE,FALSE,NA
0.094648,3.21063,0.65558,FALSE,FALSE,NA
0.08624,3.28097,0.69459,FALSE,FALSE,NA
0.078578,3.38956,0.73136,FALSE,FALSE,NA
0.071598,3.6526,0.77074,FALSE,FALSE,NA
0.065237,4.19199,0.90138,FALSE,FALSE,NA
0.059442,5.526,1.73222,FALSE,FALSE,NA
0.054161,6.76274,2.71704,FALSE,FALSE,NA
0.049349,8.58331,4.33338,FALSE,FALSE,NA
0.044965,10.98876,6.58113,FALSE,FALSE,NA
0.040971,13.59958,9.12906,FALSE,FALSE,NA
0.037331,18.77782,14.33449,FALSE,FALSE,NA
0.034015,26.50847,22.04225,FALSE,FALSE,NA
0.030993,34.62296,30.07628,FALSE,FALSE,NA
0.02824,43.73245,39.08881,FALSE,FALSE,NA
0.025731,58.12241,53.33769,FALSE,FALSE,NA
0.023445,74.18635,69.11314,FALSE,FALSE,NA
0.021362,83.6675,78.25351,FALSE,FALSE,NA
0.019464,92.87755,86.96691,FALSE,FALSE,NA
0.017735,101.76398,95.24747,FALSE,FALSE,NA
0.01616,110.04344,102.80102,FALSE,FALSE,NA
0.014724,115.46352,107.50494,FALSE,FALSE,NA
0.013416,120.14641,111.58188,FALSE,FALSE,NA
0.012224,124.68598,115.47293,FALSE,FALSE,NA
0.011138,129.24024,119.2933,FALSE,FALSE,NA
0.010149,134.89381,124.21176,FALSE,FALSE,NA
0.009247,141.45413,130.09491,FALSE,FALSE,NA
0.008426,147.99048,135.98904,FALSE,FALSE,NA
0.007677,154.30061,141.645,FALSE,FALSE,NA
0.006995,160.33468,146.993,FALSE,FALSE,NA
0.006374,166.52143,152.52213,FALSE,FALSE,NA
0.005808,176.31212,161.70212,FALSE,FALSE,NA
0.005292,186.36368,171.13959,FALSE,FALSE,NA
0.004821,206.95472,191.02541,FALSE,FALSE,NA
0.004393,233.11173,216.36798,FALSE,FALSE,NA
0.004003,263.70318,245.98749,FALSE,FALSE,NA
0.003647,276.33483,258.02274,FALSE,FALSE,NA
0.003323,292.76857,274.07063,FALSE,FALSE,NA
0.003028,309.83899,290.59051,FALSE,FALSE,NA
0.002759,327.50579,307.2392,FALSE,FALSE,NA
0.002514,343.70284,322.81776,FALSE,FALSE,NA
0.002291,358.71947,337.29396,FALSE,FALSE,NA
0.002087,372.86069,350.80325,FALSE,FALSE,NA
0.001902,385.98522,363.34063,FALSE,FALSE,NA
0.001733,398.21283,374.92957,FALSE,FALSE,NA
0.001579,409.50886,385.61895,FALSE,FALSE,NA
0.001439,420.08112,395.53144,FALSE,FALSE,NA
0.001311,429.83694,404.61378,FALSE,FALSE,NA
0.001194,439.01281,413.04655,FALSE,FALSE,NA
0.001088,448.03864,421.00769,FALSE,FALSE,NA
0.000992,457.99637,429.64053,FALSE,FALSE,NA
0.000903,473.63749,443.8595,FALSE,FALSE,NA
0.000823,492.45074,461.51354,FALSE,FALSE,NA
0.00075,509.30487,477.17096,FALSE,FALSE,NA
0.000683,536.72454,503.387,FALSE,FALSE,NA
0.000623,561.57313,527.04801,FALSE,FALSE,NA
0.000567,584.18745,548.49335,FALSE,FALSE,NA
0.000517,605.1047,568.28571,FALSE,FALSE,NA
0.000471,623.97494,586.2716,FALSE,FALSE,NA
