"hypothesis","metric","n","test","statistic","df_approx","p_value","effect_size","effect_label","median_MR","median_VBT","mean_MR","mean_VBT","p_fdr","sig_raw","sig_fdr"
"H1","RMSSD",13,"paired_t",-0.0204,12,0.98405,-0.006,"Cohen_dz",66.1502,89.7115,69.8245,70.0895,0.98405,FALSE,FALSE
"H1","SDNN",13,"paired_t",-0.4013,12,0.69522,-0.111,"Cohen_dz",62.9097,61.5421,60.4256,65.2085,0.77247,FALSE,FALSE
"H1","HF_log",18,"wilcoxon_SR",64,NA,0.36042,-0.221,"rank_biserial_r",7.5112,7.7127,7.1873,7.1945,0.77247,FALSE,FALSE
"H1","LF_log",18,"wilcoxon_SR",69,NA,0.48592,-0.169,"rank_biserial_r",7.3362,7.7238,7.2834,7.2323,0.77247,FALSE,FALSE
"H1","LF_nu",18,"paired_t",0.4764,17,0.63988,0.112,"Cohen_dz",52.5938,48.292,52.0454,49.5034,0.77247,FALSE,FALSE
"H1","HF_nu",18,"paired_t",-0.489,17,0.63109,-0.115,"Cohen_dz",47.108,51.5013,47.7966,50.3994,0.77247,FALSE,FALSE
"H1","LF_HF_ratio",18,"wilcoxon_SR",96,NA,0.6632,0.108,"rank_biserial_r",1.1188,0.9062,1.4788,1.1512,0.77247,FALSE,FALSE
"H1","SD1",5,"paired_t",-0.6379,4,0.55821,-0.285,"Cohen_dz",46.834,70.533,60.6948,90.9423,0.77247,FALSE,FALSE
"H1","SampEn",18,"paired_t",-0.6516,17,0.52338,-0.154,"Cohen_dz",1.6143,1.6186,1.5264,1.6046,0.77247,FALSE,FALSE
"H1","alpha1",18,"paired_t",0.9285,17,0.36613,0.219,"Cohen_dz",0.9614,0.988,0.984,0.9082,0.77247,FALSE,FALSE
"H7","RMSSD",14,"paired_t",-0.2905,13,0.776,-0.078,"Cohen_dz",55.7066,50.1098,55.8612,58.9363,0.776,FALSE,FALSE
"H7","SDNN",14,"paired_t",-0.6403,13,0.53309,-0.171,"Cohen_dz",46.1206,57.6556,52.204,56.895,0.59973,FALSE,FALSE
"H7","HF_log",17,"wilcoxon_SR",43,NA,0.11825,-0.385,"rank_biserial_r",6.484,7.7258,6.3985,6.8894,0.24287,FALSE,FALSE
"H7","LF_log",17,"paired_t",-2.5534,16,0.02126,-0.619,"Cohen_dz",7.2086,7.3964,7.0019,7.4204,0.09567,TRUE,FALSE
"H7","LF_nu",17,"paired_t",1.9976,16,0.06305,0.484,"Cohen_dz",69.651,50.9849,62.9625,49.9727,0.18915,FALSE,FALSE
"H7","HF_nu",17,"paired_t",-0.9451,16,0.35864,-0.229,"Cohen_dz",32.6294,48.9998,42.1537,49.9923,0.46111,FALSE,FALSE
"H7","LF_HF_ratio",17,"paired_t",1.5745,16,0.13493,0.382,"Cohen_dz",2.064,1.0405,2.1936,1.4061,0.24287,FALSE,FALSE
"H7","SampEn",17,"paired_t",-3.3938,16,0.00371,-0.823,"Cohen_dz",1.2665,1.6764,1.2535,1.6568,0.03339,TRUE,TRUE
"H7","alpha1",17,"paired_t",1.3894,16,0.18376,0.337,"Cohen_dz",1.0933,0.9427,1.1483,0.9803,0.27564,FALSE,FALSE
