"hypothesis","metric","n","test","statistic","df_approx","p_value","effect_size","effect_label","median_MR","median_VBT","mean_MR","mean_VBT","p_fdr","sig_raw","sig_fdr"
"H2","RMSSD",13,"wilcoxon_SR",65,NA,0.18424,0.378,"rank_biserial_r",6.323,-14.4435,-1.3956,-9.9614,0.61413,FALSE,FALSE
"H2","SDNN",13,"wilcoxon_SR",45,NA,1,-0.01,"rank_biserial_r",8.1566,11.0956,15.4637,39.4099,1,FALSE,FALSE
"H2","HF_log",18,"paired_t",0.7184,17,0.48224,0.169,"Cohen_dz",-2.7719,-4.3805,-5.18,-7.8886,0.71411,FALSE,FALSE
"H2","LF_log",18,"paired_t",-0.5919,17,0.56172,-0.14,"Cohen_dz",3.769,5.0612,1.2352,3.3286,0.71411,FALSE,FALSE
"H2","LF_nu",18,"wilcoxon_SR",45,NA,0.08151,-0.416,"rank_biserial_r",-2.909,38.7388,35.9103,58.2283,0.4471,FALSE,FALSE
"H2","HF_nu",18,"wilcoxon_SR",125,NA,0.08942,0.405,"rank_biserial_r",6.9905,-26.4671,5.4913,-24.2816,0.4471,FALSE,FALSE
"H2","LF_HF_ratio",18,"wilcoxon_SR",59,NA,0.2575,-0.272,"rank_biserial_r",-5.213,115.7074,202.4705,290.8003,0.64375,FALSE,FALSE
"H2","SD1",5,"paired_t",0.4905,4,0.64949,0.219,"Cohen_dz",13.5791,-2.6339,2.4314,-2.698,0.72166,FALSE,FALSE
"H2","SampEn",18,"wilcoxon_SR",72,NA,0.57129,-0.139,"rank_biserial_r",-25.3219,-15.9401,-11.6957,-19.1744,0.71411,FALSE,FALSE
"H2","alpha1",18,"paired_t",-0.747,17,0.46526,-0.176,"Cohen_dz",15.681,24.6576,28.1995,43.064,0.71411,FALSE,FALSE
"H3","RMSSD",13,"paired_t",2.8263,12,0.01528,0.784,"Cohen_dz",2.9655,-20.5073,7.5428,-15.5387,0.1472,TRUE,FALSE
"H3","SDNN",13,"wilcoxon_SR",49,NA,0.83394,0.068,"rank_biserial_r",16.6305,11.0716,15.3839,33.6349,0.83394,FALSE,FALSE
"H3","HF_log",17,"paired_t",1.5258,16,0.14658,0.37,"Cohen_dz",-5.0694,-1.962,-3.7405,-7.962,0.2094,FALSE,FALSE
"H3","LF_log",17,"paired_t",-0.7757,16,0.44921,-0.188,"Cohen_dz",2.6131,4.8687,2.4646,5.9129,0.49912,FALSE,FALSE
"H3","LF_nu",17,"wilcoxon_SR",30,NA,0.02944,-0.534,"rank_biserial_r",12.7288,25.5953,15.8421,67.2576,0.1472,TRUE,FALSE
"H3","HF_nu",17,"paired_t",1.7052,16,0.10749,0.414,"Cohen_dz",-8.6314,-19.8614,0.4496,-24.8999,0.19037,FALSE,FALSE
"H3","LF_HF_ratio",17,"wilcoxon_SR",42,NA,0.10751,-0.396,"rank_biserial_r",23.5135,52.357,107.0221,397.1364,0.19037,FALSE,FALSE
