"hypothesis","metric","term","estimate","SE","df_satterthwaite","t_value","p_value","LRT_interaction_chisq","LRT_interaction_p","singular","n_obs","n_subjects"
"H6_post_trajectory","RMSSD","(Intercept)",66.01114,5.10804,190.23142,12.923,0,19.7151,1e-05,FALSE,436,27
"H6_post_trajectory","RMSSD","protocolVBT",-31.63836,6.27079,429.84003,-5.04536,0,19.7151,1e-05,FALSE,436,27
"H6_post_trajectory","RMSSD","phase_pos",-0.98302,0.66281,421.62879,-1.4831,0.1388,19.7151,1e-05,FALSE,436,27
"H6_post_trajectory","RMSSD","protocolVBT:phase_pos",4.23302,0.94259,420.42363,4.49085,1e-05,19.7151,1e-05,FALSE,436,27
"H6_post_trajectory","SDNN","(Intercept)",57.84444,4.59082,149.43837,12.60003,0,18.9154,1e-05,FALSE,439,27
"H6_post_trajectory","SDNN","protocolVBT",-19.37079,5.46024,431.26529,-3.54761,0.00043,18.9154,1e-05,FALSE,439,27
"H6_post_trajectory","SDNN","phase_pos",-1.11144,0.57637,420.93495,-1.92834,0.05448,18.9154,1e-05,FALSE,439,27
"H6_post_trajectory","SDNN","protocolVBT:phase_pos",3.58503,0.81531,419.84267,4.39712,1e-05,18.9154,1e-05,FALSE,439,27
"H6_post_trajectory","HF_log","(Intercept)",4.02594,0.29378,52.07829,13.70401,0,5.6238,0.01772,FALSE,474,27
"H6_post_trajectory","HF_log","protocolVBT",1.34471,0.23254,452.5567,5.78265,0,5.6238,0.01772,FALSE,474,27
"H6_post_trajectory","HF_log","phase_pos",0.25543,0.02401,447.01368,10.63934,0,5.6238,0.01772,FALSE,474,27
"H6_post_trajectory","HF_log","protocolVBT:phase_pos",-0.08043,0.0338,448.48105,-2.37937,0.01776,5.6238,0.01772,FALSE,474,27
"H6_post_trajectory","LF_log","(Intercept)",5.20128,0.21282,66.02159,24.43959,0,2.2082,0.13728,FALSE,474,27
"H6_post_trajectory","LF_log","protocolVBT",0.76264,0.18989,454.75004,4.01619,7e-05,2.2082,0.13728,FALSE,474,27
"H6_post_trajectory","LF_log","phase_pos",0.15472,0.01963,447.68715,7.8811,0,2.2082,0.13728,FALSE,474,27
"H6_post_trajectory","LF_log","protocolVBT:phase_pos",-0.04111,0.02763,449.45714,-1.48782,0.1375,2.2082,0.13728,FALSE,474,27
"H6_post_trajectory","LF_nu","(Intercept)",72.28323,3.47419,77.34543,20.80579,0,0.228,0.63301,FALSE,474,27
"H6_post_trajectory","LF_nu","protocolVBT",-4.86272,3.33897,455.74143,-1.45636,0.14598,0.228,0.63301,FALSE,474,27
"H6_post_trajectory","LF_nu","phase_pos",-1.95776,0.34559,447.23506,-5.66499,0,0.228,0.63301,FALSE,474,27
"H6_post_trajectory","LF_nu","protocolVBT:phase_pos",-0.23223,0.48629,449.2624,-0.47756,0.6332,0.228,0.63301,FALSE,474,27
"H6_post_trajectory","HF_nu","(Intercept)",39.87258,3.32938,129.8832,11.97599,0,6.6538,0.00989,FALSE,474,27
"H6_post_trajectory","HF_nu","protocolVBT",-6.38237,3.72232,459.72874,-1.71462,0.08709,6.6538,0.00989,FALSE,474,27
"H6_post_trajectory","HF_nu","phase_pos",0.74336,0.38677,447.78836,1.92198,0.05524,6.6538,0.00989,FALSE,474,27
"H6_post_trajectory","HF_nu","protocolVBT:phase_pos",1.40774,0.5438,450.17117,2.58869,0.00995,6.6538,0.00989,FALSE,474,27
"H6_post_trajectory","LF_HF_ratio","(Intercept)",4.10566,0.69479,176.71511,5.90922,0,0.0039,0.95001,FALSE,474,27
"H6_post_trajectory","LF_HF_ratio","protocolVBT",-2.15385,0.82019,462.56497,-2.62603,0.00893,0.0039,0.95001,FALSE,474,27
"H6_post_trajectory","LF_HF_ratio","phase_pos",-0.10469,0.08542,450.07195,-1.22556,0.221,0.0039,0.95001,FALSE,474,27
"H6_post_trajectory","LF_HF_ratio","protocolVBT:phase_pos",0.00753,0.12006,452.30319,0.06269,0.95004,0.0039,0.95001,FALSE,474,27
"H6_post_trajectory","SD1","(Intercept)",21.19198,10.52217,134.14832,2.01403,0.04601,0.3988,0.52774,FALSE,223,16
"H6_post_trajectory","SD1","protocolVBT",10.97758,11.88169,222.61577,0.92391,0.35653,0.3988,0.52774,FALSE,223,16
"H6_post_trajectory","SD1","phase_pos",2.15502,1.26261,210.03676,1.7068,0.08934,0.3988,0.52774,FALSE,223,16
"H6_post_trajectory","SD1","protocolVBT:phase_pos",1.03235,1.63411,211.28356,0.63175,0.52823,0.3988,0.52774,FALSE,223,16
"H6_post_trajectory","SampEn","(Intercept)",1.10232,0.05787,129.51535,19.04673,0,0.4523,0.50125,FALSE,474,27
"H6_post_trajectory","SampEn","protocolVBT",0.11972,0.06546,459.05956,1.8288,0.06808,0.4523,0.50125,FALSE,474,27
"H6_post_trajectory","SampEn","phase_pos",0.05406,0.00681,445.93217,7.94385,0,0.4523,0.50125,FALSE,474,27
